OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,M,N,Q,OQ,B,C,D,E,F,G,H,I,J,K,L,D,E,F,G,H,I,J,K,L,D,OQ,B,C,D,E,F,G,H,I,J,I,J,K,L,M,N,Q,OQ,B,C
48,13,61,26,74,39,4,52,17,65,30,78,43,8,56,21,69,34,82,47,12,60,25,73,38,3,51,16,64,29,77,42,7,55,20,68,33,81,46,11,59,24,72,37,2,50,15,63,28,76,41,6,54,19,67,32,80,45,10,58,23,71,36,1,49,14,62,27,75,40,5,53,18,66,31,79,44,9,57,22,70,35,0,48,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,16,65,32,81,48,15,64,31,80,47,14,63,30,79,46,13,62,29,78,45,12,61,28,77,44,11,60,27,76,43,10,59,26,75,42,9,58,25,74,41,8,57,24,73,40,7,56,23,72,39,6,55,22,71,38,5,54,21,70,37,4,53,20,69,36,3,52,19,68,35,2,51,18,67,34,1,50,17,66,33,0,49,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,19,69,38,7,57,26,76,45,14,64,33,2,52,21,71,40,9,59,28,78,47,16,66,35,4,54,23,73,42,11,61,30,80,49,18,68,37,6,56,25,75,44,13,63,32,1,51,20,70,39,8,58,27,77,46,15,65,34,3,53,22,72,41,10,60,29,79,48,17,67,36,5,55,24,74,43,12,62,31,0,50,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,22,73,44,15,66,37,8,59,30,1,52,23,74,45,16,67,38,9,60,31,2,53,24,75,46,17,68,39,10,61,32,3,54,25,76,47,18,69,40,11,62,33,4,55,26,77,48,19,70,41,12,63,34,5,56,27,78,49,20,71,42,13,64,35,6,57,28,79,50,21,72,43,14,65,36,7,58,29,0,51,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,25,77,50,23,75,48,21,73,46,19,71,44,17,69,42,15,67,40,13,65,38,11,63,36,9,61,34,7,59,32,5,57,30,3,55,28,1,53,26,78,51,24,76,49,22,74,47,20,72,45,18,70,43,16,68,41,14,66,39,12,64,37,10,62,35,8,60,33,6,58,31,4,56,29,2,54,27,0,52,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,28,3,56,31,6,59,34,9,62,37,12,65,40,15,68,43,18,71,46,21,74,49,24,77,52,27,2,55,30,5,58,33,8,61,36,11,64,39,14,67,42,17,70,45,20,73,48,23,76,51,26,1,54,29,4,57,32,7,60,35,10,63,38,13,66,41,16,69,44,19,72,47,22,75,50,25,0,53,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,31,8,62,39,16,70,47,24,1,55,32,9,63,40,17,71,48,25,2,56,33,10,64,41,18,72,49,26,3,57,34,11,65,42,19,73,50,27,4,58,35,12,66,43,20,74,51,28,5,59,36,13,67,44,21,75,52,29,6,60,37,14,68,45,22,76,53,30,7,61,38,15,69,46,23,0,54,31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,34,13,68,47,26,5,60,39,18,73,52,31,10,65,44,23,2,57,36,15,70,49,28,7,62,41,20,75,54,33,12,67,46,25,4,59,38,17,72,51,30,9,64,43,22,1,56,35,14,69,48,27,6,61,40,19,74,53,32,11,66,45,24,3,58,37,16,71,50,29,8,63,42,21,0,55,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,37,18,74,55,36,17,73,54,35,16,72,53,34,15,71,52,33,14,70,51,32,13,69,50,31,12,68,49,30,11,67,48,29,10,66,47,28,9,65,46,27,8,64,45,26,7,63,44,25,6,62,43,24,5,61,42,23,4,60,41,22,3,59,40,21,2,58,39,20,1,57,38,19,0,56,37,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,40,23,6,63,46,29,12,69,52,35,18,1,58,41,24,7,64,47,30,13,70,53,36,19,2,59,42,25,8,65,48,31,14,71,54,37,20,3,60,43,26,9,66,49,32,15,72,55,38,21,4,61,44,27,10,67,50,33,16,73,56,39,22,5,62,45,28,11,68,51,34,17,0,57,40,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,43,28,13,71,56,41,26,11,69,54,39,24,9,67,52,37,22,7,65,50,35,20,5,63,48,33,18,3,61,46,31,16,1,59,44,29,14,72,57,42,27,12,70,55,40,25,10,68,53,38,23,8,66,51,36,21,6,64,49,34,19,4,62,47,32,17,2,60,45,30,15,0,58,43,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,46,33,20,7,66,53,40,27,14,1,60,47,34,21,8,67,54,41,28,15,2,61,48,35,22,9,68,55,42,29,16,3,62,49,36,23,10,69,56,43,30,17,4,63,50,37,24,11,70,57,44,31,18,5,64,51,38,25,12,71,58,45,32,19,6,65,52,39,26,13,0,59,46,33,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,49,38,27,16,5,65,54,43,32,21,10,70,59,48,37,26,15,4,64,53,42,31,20,9,69,58,47,36,25,14,3,63,52,41,30,19,8,68,57,46,35,24,13,2,62,51,40,29,18,7,67,56,45,34,23,12,1,61,50,39,28,17,6,66,55,44,33,22,11,0,60,49,38,27,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,52,43,34,25,16,7,68,59,50,41,32,23,14,5,66,57,48,39,30,21,12,3,64,55,46,37,28,19,10,1,62,53,44,35,26,17,8,69,60,51,42,33,24,15,6,67,58,49,40,31,22,13,4,65,56,47,38,29,20,11,2,63,54,45,36,27,18,9,0,61,52,43,34,25,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,55,48,41,34,27,20,13,6,68,61,54,47,40,33,26,19,12,5,67,60,53,46,39,32,25,18,11,4,66,59,52,45,38,31,24,17,10,3,65,58,51,44,37,30,23,16,9,2,64,57,50,43,36,29,22,15,8,1,63,56,49,42,35,28,21,14,7,0,62,55,48,41,34,27,20,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,58,53,48,43,38,33,28,23,18,13,8,3,66,61,56,51,46,41,36,31,26,21,16,11,6,1,64,59,54,49,44,39,34,29,24,19,14,9,4,67,62,57,52,47,42,37,32,27,22,17,12,7,2,65,60,55,50,45,40,35,30,25,20,15,10,5,0,63,58,53,48,43,38,33,28,23,18,13,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,61,58,55,52,49,46,43,40,37,34,31,28,25,22,19,16,13,10,7,4,1,65,62,59,56,53,50,47,44,41,38,35,32,29,26,23,20,17,14,11,8,5,2,66,63,60,57,54,51,48,45,42,39,36,33,30,27,24,21,18,15,12,9,6,3,0,64,61,58,55,52,49,46,43,40,37,34,31,28,25,22,19,16,13,10,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
